./tes# ./testIf GET InternetGatewayDevice.
out0 0 --> parameter = InternetGatewayDevice.ManagementServer.URL | value = http://10.64.16.14:9034/TR069ACS
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.EntryID | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.Codec | value = G.729a
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.1.Priority | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.ResetStatistics | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.PacketsSent | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.PacketsReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.BytesSent | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.BytesReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.PacketsLost | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.Overruns | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.Underruns | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.IncomingCallsReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.IncomingCallsAnswered | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.IncomingCallsConnected | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.IncomingCallsFailed | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.OutgoingCallsAttempted | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.OutgoingCallsAnswered | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.OutgoingCallsConnected | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.OutgoingCallsFailed | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.ReceivePacketLossRate | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.FarEndPacketLossRate | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.ReceiveInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.FarEndInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.RoundTripDelay | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Stats.AverageReceiveInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.VoiceProcessing.TransmitGain | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.VoiceProcessing.ReceiveGain | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Enable | value = Enabled
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.DirectoryNumber | value = 
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Status | value = Disabled
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.CallState | value = Unavailable
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.PhyReferenceList | value = 
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.X_TELECOMITALIA_IT_AssocTime | value = 1970-01-01T00:00:00Z
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.X_TELECOMITALIA_IT_POSConfig | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthUserName | value = 
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthPassword | value = 
